C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_01_498.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_01_498.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_01_498.jpg, 0, 0, 0, 0.0001584605
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_01_600.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_01_600.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_01_600.jpg, 0, 0, 0, 0.000158456
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_01_700.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_01_700.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_01_700.jpg, 0, 0, 0, 0.0001585776
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_01_800.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_01_800.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_01_800.jpg, 0, 0, 0, 0.0001584424
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_01_900.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_01_900.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_01_900.jpg, 0, 0, 0, 0.000158745
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_001.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_001.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_001.jpg, 0, 0, 0, 0.00015839
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_115.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_115.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_115.jpg, 0, 0.1420206, 0, 0.04604274
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_219.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_219.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_219.jpg, 0, 0.4454073, 0, 0.4344673
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_317.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_317.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_317.jpg, 0, 0.7433585, 0, 1.176817
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_418.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_418.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_418.jpg, 0, 1, 0, 2.212107
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_521.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_521.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_521.jpg, 0, 1, 0, 3.375403
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_623.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_623.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_623.jpg, 0, 1, 0, 4.547619
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_725.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_725.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_725.jpg, 0, 1, 0, 5.708158
C:\Users\agath\Desktop\Data\IMG\center_2020_05_19_11_48_02_825.jpg, C:\Users\agath\Desktop\Data\IMG\left_2020_05_19_11_48_02_825.jpg, C:\Users\agath\Desktop\Data\IMG\right_2020_05_19_11_48_02_825.jpg, 0, 1, 0, 6.857541
